source_file,is_relevant,non_expert_policy_maker_question,expert_translation_analytical_query,follow_up_needed,non_technical_follow_up_questions,expert_approach,visual
esd-12-401-2021.pdf,True,How will changes in extreme precipitation affect flood risks and freshwater availability on low-lying atolls like Tuvalu?,"Overlay projected changes in extreme precipitation return periods (e.g., 100-year event) with atoll island boundaries and freshwater lens extents to identify areas where increased rainfall intensity may cause flooding or compromise groundwater quality.",True,"Are you focusing on a specific atoll nation such as Tuvalu, Kiribati, or the Marshall Islands? Would you like to prioritize mapping flood-prone infrastructure or the vulnerability of freshwater lenses?","1. Filter/Load: Load downscaled CMIP6 extreme precipitation indices (e.g., Rx5day, R99p) for the Pacific region and clip to the selected atoll nation's boundary. 2. Process: Calculate the ensemble mean change in 100-year return levels, then intersect with layers of island polygons, population settlements, and mapped freshwater lens extents. 3. Package: Generate a risk classification raster where high precipitation change overlaps with critical assets or groundwater lenses, and export as a GeoJSON layer for the web map.","Style the map with a diverging color ramp (brown to blue) for precipitation change intensity, overlay semi-transparent atoll polygons and freshwater lens boundaries, and render a bar chart in the chat panel comparing projected changes in extreme rainfall across different atolls."
IPCC_AR6_WGI_Chapter11.pdf,True,"Given the projected increases in heatwave frequency and intensity over most land areas, how will these heat extremes affect public health risks and power grid stability in low-lying coral atolls like the Marshall Islands?","Load a raster layer of projected heatwave frequency change (CMIP6 multi-model mean, SSP5-8.5) clipped to the Marshall Islands EEZ, and intersect with point layers of health facilities and power stations to compute exposure metrics under a high-warming scenario.",True,"Are you specifically interested in the Marshall Islands, or would you like to focus on another Pacific Island nation? Would you like to map exposure for hospitals, power generation sites, or both?","1. Filter and load the CMIP6 heatwave frequency raster for the selected scenario, clip to the target island boundaries. 2. Load critical infrastructure point layers (hospitals, power plants) and perform a spatial join to assign raster values to each point. 3. Classify facilities into exposure categories and generate summary statistics for the chat chart.","Style the heatwave frequency raster with a yellow-to-red gradient, and overlay hospital and power station points as graduated symbols based on their exposure level. In the chat panel, render a horizontal bar chart showing the count of exposed facilities by atoll or island."
IPCC_AR6_WGI_Chapter11.pdf,True,"How will climate change alter extreme rainfall events in the equatorial Pacific, and what does that mean for flood risks on vulnerable islands like Kiribati?",Calculate the projected percentage change in the annual maximum daily precipitation (Rx1day) per degree of global warming for an equatorial Pacific bounding box and overlay on a Kiribati atolls layer.,True,"Are you specifically concerned with Kiribati, or would you like to see projections for another Pacific Island group like Tuvalu or the Marshall Islands? Also, are you focusing on a particular type of flooding, such as coastal inundation or overloading of drainage systems?",1. Filter CMIP6 netCDF precipitation projection data for the 'equatorial Pacific' domain and the 'ssp585' scenario. 2. Process the netCDF to calculate the multi-model ensemble median fractional change in Rx1day per degree of global warming using a linear regression over a 2050-2100 time slice. 3. Package the raster as a GeoTIFF and apply a custom QGIS pseudocolor symbology for direct overlay onto an OSM base map and a Kiribati Island group vector layer.,"Update the map canvas to show a color-coded raster layer over the equatorial Pacific, with a red-blue diverging palette highlighting the robust amplification of precipitation extremes near the equator, directly overlaying the Gilbert Islands chain. In the chat panel, render a bar chart comparing the projected Rx1day change for Tarawa, Tuvalu, and Majuro."
IPCC_AR6_WGI_Chapter11.pdf,True,"How will compound flooding from sea level rise and heavy rainfall increase the risk of freshwater shortages on our low-lying atolls, like those in Kiribati or Tuvalu?","Overlay IPCC sea level rise inundation extents (SSP2-4.5, 2100) with extreme rainfall flood zones (e.g., 1-in-100 year event from CHIRPS or local gauge data) for a selected atoll. Intersect the combined hazard layer with mapped freshwater lens locations to identify lenses at risk of saltwater contamination.",True,"Which specific atoll group are you most concerned about—for example, Funafuti in Tuvalu or South Tarawa in Kiribati? Would you like to focus on freshwater lens contamination or direct inundation of villages and infrastructure?","1. Filter and Load: Load sea level rise risk zones, high-intensity rainfall flood extents, and freshwater lens point data for the target atoll from the QGIS geopackage. 2. Process: Perform a spatial union of SLR and rainfall floods to create a compound flood hazard polygon, then run 'intersection' with the freshwater layer to tag threatened lenses. 3. Package: Export the resulting 'compound_flood_freshwater_risk' layer as GeoJSON and push to the map canvas widget; generate summary statistics for the chat panel.","Map: Style the compound flood hazard polygon with a two-color gradient (blue for SLR-dominant, red for rainfall-dominant) and highlight impacted freshwater lenses with large yellow warning triangles. Chart: Display a small bar chart in the chat panel comparing the number of freshwater sources at risk under current conditions versus the 2°C warming scenario."
IPCC_AR6_WGI_Chapter11.pdf,True,"How can we use the definition of extreme heat days (like days above 35°C) to project future heatwave health risks for our remote communities on low-lying atolls such as the Marshall Islands, and what does a change in frequency mean for our national heat action plans?","Compute the change in annual count of days where daily maximum temperature exceeds 35°C between a historical period (1981–2010) and a future period (2041–2060) under RCP8.5, using statistically downscaled climate model layers clipped to the Marshall Islands boundary.",True,"Are you most worried about heat impacts in the capital Majuro or the outer atolls? Should we focus on health vulnerability (heat stroke, the elderly) or on infrastructure strain like freshwater supply and electricity?","1. Load gridded daily maximum temperature data (historical and future) and filter to the bounding box of the target atoll nation. 2. For each grid cell, count days with temperature >35°C per year, then average over the specified periods to get a baseline and a projection. 3. Calculate the difference (future minus historical) and join the result to a vector grid or mask of the islands; export as a point or polygon layer.","On the map, display the change layer with a red gradient for grid points showing an increase in hot days. In the chat panel, embed a horizontal bar chart comparing the historical and projected average annual hot days for Majuro and two outer atolls."
IPCC_AR6_WGI_Chapter11.pdf,True,"How can the evidence from prehistoric coastal flood and storm deposits help our low-lying atoll nation, like Kiribati, better prepare for future storm surge and sea level rise risks?",Overlay a layer of paleotempest deposit locations with projected sea level rise inundation zones and critical infrastructure points for Kiribati. Compute intersection to identify assets exposed to storm surge return periods derived from long-term paleo records.,True,"Which atoll in Kiribati are you focusing on? Should we map exposure of hospitals, schools, or water lens areas?","1. Load paleotempest overwash deposit point layer (e.g., from coastal marsh sediments) and a vector layer of projected 100-year sea level rise flood zones. 2. Buffer deposit points by typical storm surge radius, then intersect with asset points and flood zones. 3. Classify exposure risk based on presence in both buffer and flood zone, output as scored layer.","Display paleotempest points as amber diamonds, flood zones as semi‑transparent blue hatches, and exposed assets as red circles. Simultaneously render a stacked bar chart in the chat panel showing count of exposed assets per atoll and return period category."
IPCC_AR6_WGI_Chapter11.pdf,True,"How will the frequency of extreme heat days change in low-lying atoll nations like Kiribati, and what are the implications for public health and energy demand?","Calculate the projected change in annual count of days with maximum temperature exceeding the 95th percentile of the historical baseline (heatwave days) for Kiribati under SSP2-4.5 and SSP5-8.5 scenarios using CMIP6 downscaled data, and overlay with population distribution to quantify exposure.",True,"Are you specifically interested in Kiribati, or would you like to see projections for another Pacific Island nation like Tuvalu or the Marshall Islands? Should we focus on the capital island (e.g., South Tarawa) or the entire country?","1. Filter and load CMIP6 daily maximum temperature rasters for the selected SSP scenarios, clip to Kiribati administrative boundary. 2. Process: compute baseline 95th percentile threshold from historical period (1985-2014), then count days per year exceeding that threshold for future time slices (e.g., 2040-2059). 3. Package: intersect heatwave day raster with population density grid to calculate exposed population and produce a risk index layer.","On the map canvas, style the Kiribati layer with a graduated red-orange-yellow ramp showing projected increase in annual heatwave days by mid-century. In the chat panel, render a grouped bar chart comparing historical average heatwave days versus projected values for South Tarawa under both emission scenarios."
IPCC_AR6_WGI_Chapter11.pdf,True,"How will changes in land use and air pollution (aerosols) affect the number of extremely hot days in Suva, Fiji, and what does that mean for heat-related illnesses and the strain on our electricity grid?","Using downscaled CMIP6 projections, extract temperature data over Fiji's Viti Levu island and calculate the change in the annual count of days with maximum temperature exceeding 35°C under different Shared Socioeconomic Pathways (e.g., SSP3-7.0 vs. SSP5-8.5) that include varying land-use and aerosol forcing. Overlay the resulting heat-day grids with population density and critical infrastructure (hospitals, substations) to map exposure.",True,"Are you most concerned about heat impacts in urban Suva or across the entire island of Viti Levu? Would you like to prioritize mapping for outdoor workers, health clinics, or only the electricity grid infrastructure?","1. Filter/Load: Retrieve bias-adjusted daily maximum temperature rasters for Fiji from the IPCC Interactive Atlas or local data repository for two contrasting scenarios (e.g., high vs. low aerosol emissions). 2. Process: Use QGIS Raster Calculator to compute the frequency of days above a 35°C threshold for each scenario period (e.g., 2041–2060), then calculate the difference raster; clip to Viti Levu land mask. 3. Package: Zonal statistics to aggregate population exposure by district, and intersect with point layers of hospitals and substations to flag high-risk assets.","Style the difference raster with a red-yellow heat color ramp to highlight areas with a projected increase of 10, 20, or 30+ additional extreme heat days per year. In the chat panel, render a comparative bar chart of average heat days for Suva, Nadi, and Lautoka under the two aerosol scenarios, and place dynamic labels on the map showing population per heat-risk zone."
IPCC_AR6_WGI_Chapter11.pdf,True,"How will the projected increase in hot extremes and heatwave days threaten public health and the electrical grid on the main island of Tarawa, Kiribati?","Load a projected heatwave frequency layer (e.g., annual heatwave days under a 2°C warming scenario from the IPCC AR6 Atlas), clip to Tarawa atoll boundary, and overlay population density and critical infrastructure (hospitals, power stations) to calculate zonal statistics of exposed population and assets.",True,"Would you like to focus on Tarawa in Kiribati, or another low-lying atoll nation? Are you primarily concerned about heat risks to health clinics, the central power station, or vulnerable neighborhoods?",1. Filter/Load: Import the global CMIP6 heatwave days layer for the selected warming level and filter to Tarawa's vector boundary. 2. Process: Intersect with a population density raster and point layers of hospitals and power facilities; compute zonal statistics to quantify population and infrastructure units in areas exceeding 30 heatwave days/year. 3. Package: Export the resulting risk map as GeoJSON and prepare summary tables with counts and percentages.,"The map will color-code Tarawa's neighborhoods using a red-orange heatwave frequency gradient, with darker shades indicating areas exceeding 30 heatwave days annually. An inline bar chart in the chat panel will compare the number of health facilities and power substations located in high-risk zones versus safer zones."
IPCC_AR6_WGI_Chapter11.pdf,True,"If global warming reaches 2°C above pre‑industrial levels, how will the frequency of extreme heat days in Suva, Fiji change compared to a 1.5°C warmer world, and which neighbourhoods in the capital will face the greatest heat stress risk?","Calculate the difference in the annual number of days with daily maximum temperature exceeding 35°C between the +2°C and +1.5°C global warming levels using downscaled CMIP6 climate projections for the Fiji region, and produce a per‑pixel risk map for the Suva metropolitan area.",True,"Would you like to focus only on the Suva urban area, or should we extend the analysis to other populated islands such as Vanua Levu? Are there specific critical facilities (hospitals, schools, power substations) you want us to overlay on the heat risk map?","1. Filter: Load the CMIP6 multi‑model ensemble of bias‑corrected daily maximum temperature (tasmax) for the Fiji domain, extract time slices that correspond to +1.5°C and +2.0°C global warming levels. 2. Process: For each grid cell, count the average annual number of days with tasmax > 35°C under each warming level, then compute the difference raster (days at +2°C minus days at +1.5°C). 3. Package: Save the difference raster as a Cloud‑Optimized GeoTIFF, add it to the QGIS project, and publish as a Web Map Service (WMS) layer for the chat interface.","Style the difference layer with a red‑yellow sequential colour ramp to highlight neighbourhoods with the largest increase in extreme heat days, overlaid on a semi‑transparent Suva streets basemap. In the chat panel, embed an interactive horizontal bar chart comparing the average additional hot days for each ward of Suva."
esd-12-401-2021.pdf,True,"With climate change, how will the frequency of dangerous heatwaves change across our low-lying atolls like Tuvalu, and which islands might face the highest rise in extreme heat days that could overwhelm health services?","Using the RCM SMILE ensemble, extract the daily maximum temperature field for Tuvalu’s grid cells under the +2°C global warming scenario. Compute the change in the annual number of days exceeding the local 95th percentile heat threshold relative to the pre-industrial baseline, and aggregate by island atoll.",True,"Are you specifically interested in the main island of Funafuti, or would you like the analysis to cover all nine atolls of Tuvalu? Should we focus on public health infrastructure such as clinics, or also include schools and community centers?","1. Filter/Load: Load the RCM SMILE netCDF for the Southeast Asia–Pacific domain and subset to Tuvalu’s bounding box. 2. Process: For each ensemble member, compute bias-adjusted daily tasmax, then count annual exceedances of the historical 95th percentile; average across ensemble members and compute change from baseline. 3. Package: Write the resulting point-level heatwave frequency change estimates to a GeoJSON layer keyed to atoll names.","On the QGIS map, render the atoll polygons with a graduated color ramp from yellow to dark red representing the increase in extreme heat days per year, with labels showing the exact number. In the chat panel, display a bar chart comparing the projected change for each atoll, along with a warning threshold line indicating when the heat index exceeds health safety limits."
IPCC_AR6_WGI_Chapter11.pdf,True,"How will more frequent and intense heatwaves, combined with dry spells, threaten freshwater supplies and public health on low-lying coral atolls like those in Kiribati or Tuvalu?","Overlay CMIP6 projections of heatwave frequency (e.g., TX90p) and consecutive dry days onto Pacific Island administrative boundaries. Compute the area and population exposed to compound hot-dry events under SSP2-4.5 at 2°C global warming.",True,"Which island group are you most concerned about—Kiribati, Tuvalu, the Marshall Islands, or another? Are you focusing on impacts to household rainwater tanks, community groundwater lenses, or health clinic capacity?","1. Load the CMIP6 multi-model ensemble netCDF for heatwave indices and dry spell length, then filter to the Pacific domain. 2. Process by clipping to the selected country’s island polygons, resampling to 0.1° resolution, and calculating the joint probability of exceeding heat and dry thresholds. 3. Package the result as a GeoJSON overlay showing risk zones and a summary table of exposed population per atoll.","Style the map layer with a yellow-to-red heatwave risk gradient for each atoll, and render a bar chart in the chat panel comparing the projected number of additional hot days per year for the selected island group versus the historical baseline."
IPCC_AR6_WGI_Chapter11.pdf,True,"How will the frequency of extreme heat days change in low-lying atoll nations like Kiribati under 2°C of global warming, and what does that mean for heat stress on our communities?","Extract projected changes in the return frequency of the 10-year and 50-year extreme maximum daily temperature events for the AR6 region containing Kiribati (e.g., 'Pacific Small Islands' or nearest grid cells) under a +2°C global warming scenario from CMIP6 multi-model ensemble data.",True,"Would you like to focus on a specific island group such as Kiribati, Tuvalu, or the Marshall Islands? Are you most concerned about heat impacts on public health, agriculture, or energy demand?","1. Filter: Load CMIP6 extreme temperature frequency change statistics (Table 11.SM.9) and subset to the Pacific Islands region using a spatial mask. 2. Process: Calculate the median and 66% uncertainty range of frequency multipliers for 10-year and 50-year events at +2°C warming. 3. Package: Export the regional statistics as a GeoJSON layer with attributes for median, lower, and upper bounds.","On the QGIS map, style the Pacific Islands region with a graduated color ramp representing the median frequency multiplier for the 50-year extreme heat event (e.g., from 1x to 8x more frequent). In the chat panel, render a box plot chart showing the multi-model spread of frequency changes for both 10-year and 50-year events under 1°C, 1.5°C, 2°C, 3°C, and 4°C warming levels."
esd-12-401-2021.pdf,True,"Our coastal city in Fiji relies on consistent rainfall for drinking water and agriculture. How might climate change affect our year-to-year precipitation variability, and could we experience more frequent extreme wet or dry years even if the average rainfall doesn't change much?","Calculate the change in interannual precipitation variability (standard deviation of annual/seasonal totals) between a baseline period and a future warming level (e.g., 2°C or 4°C) for the specified Fijian city grid cell. Overlay the city point on a raster layer showing the difference in precipitation variance to visualize the local change in volatility.",True,"Which specific city or catchment area in Fiji are you most concerned about for water security? Are you primarily interested in changes to total annual rainfall reliability, or the intensity of summer wet season downpours?","1. Filter a climate model ensemble (e.g., CMIP6) NetCDF layer to extract precipitation time series for the grid cell covering the user-specified Fijian city. 2. Process the data by calculating the standard deviation of annual precipitation for a historical baseline (e.g., 1985-2014) and a future period (e.g., 2070-2099 under SSP5-8.5), then compute the difference. 3. Package the result as a styled point marker on the map canvas and a statistical summary for the chat panel.","On the QGIS map, add a point marker for the selected Fijian city, styled with a diverging color ramp (e.g., brown for increased variability, teal for decreased) based on the calculated change in precipitation standard deviation. In the chat panel, render a bar chart comparing the baseline interannual variability against the projected future variability, with error bars showing the ensemble spread."
IPCC_AR6_WGI_Chapter11.pdf,True,How will the projected increase in extreme heatwaves and coastal flooding from compound events affect our low-lying atoll nation like Tuvalu?,"Spatially overlay projected coastal flood zones (incorporating sea level rise and storm surge) with critical infrastructure and population layers, and map the change in frequency of concurrent heatwave and drought days under a +2°C warming scenario.",True,"Would you like to focus on a specific atoll group such as Funafuti or Nanumea? Are you most concerned about impacts on freshwater lenses, health facilities, or housing?",1. Filter and load global coastal flood hazard layers for +2°C scenario and clip to Tuvalu boundary. 2. Process by intersecting flood extents with building footprints and population density grids to calculate exposed assets. 3. Package results into a risk score layer and a heatwave frequency chart from downscaled climate projections.,"Update the map canvas to show a semi-transparent red coastal inundation layer over the atoll basemap, with exposed buildings highlighted in orange. In the chat panel, render a bar chart comparing current and projected annual heatwave days for Tuvalu."
IPCC_AR6_WGI_Chapter11.pdf,True,"How will increasing heat extremes affect our communities on low-lying atolls like Kiribati, and which islands or villages face the greatest risk of dangerous heat stress in the coming decades?","Calculate the projected change in annual number of days with maximum temperature exceeding 35°C (or heat index above 41°C) for a 2°C global warming level over Kiribati, and intersect with populated places layer to identify high-risk settlements.",True,Would you like to focus on a specific atoll group such as Tarawa or Kiritimati? Are there particular facilities like schools or health clinics you want to prioritize in the risk assessment?,"1. Load CMIP6 downscaled daily maximum temperature and humidity rasters for Kiribati, filtered to the 2°C GWL time slice. 2. Compute the heat index or count of extreme heat days per year, then zonal statistics to aggregate by village boundaries. 3. Package the result as a risk layer and a summary table of top exposed settlements.","Style the map with a red-yellow heat gradient for extreme heat days per year, and render a bar chart in the chat panel ranking the top 10 villages by number of high-risk days."
IPCC_AR6_WGI_Chapter11.pdf,True,How will the number of extreme heatwave days change on low‑lying atolls like those in Kiribati as the climate continues to warm?,"Calculate the projected change in annual heatwave days (TX90p or similar index) for the Gilbert Islands region from a CMIP6 multi‑model ensemble under SSP2‑4.5, and map the spatial variation of these changes across the atolls.",True,Would you like to focus on a specific island group such as the Gilbert Islands or the Marshall Islands? Do you have a particular threshold—like the number of days above 35°C—for defining an “extreme heat” day?,"1. Filter the CMIP6 netCDF projections to the bounding box of the target atoll nation and extract the heatwave days index (e.g., WSDI or TX90p). 2. Compute the multi‑model mean and the linear scaling of heatwave days per degree of global warming over the 21st century decadal time slices. 3. Package the results as a GeoTIFF layer with associated decadal statistics for use in QGIS.","Apply a yellow‑to‑red graduated color ramp to the atoll polygons showing the projected increase in annual heatwave days by 2050, and display an inline line chart in the chat panel that plots the multi‑model mean heatwave days against time from 2020 to 2100 for the selected island group."
