HealthCareFacility,Photos,Latitude,Longitude,MedicalSubdivision,RAPID_CHVA_Vulnerability,RAPID_CHVA_Vulnerability_Numeric,AdaptiveCapacity,DistanceFromShoreline (in meters),SeaLevelRise,CoastalErosion,AirPollution,Flooding,Cyclones,Drought,High Rainfall,Low Rainfall,Landslide,ChangingEcosystem,LackOfArableLand,HighTemperature,WaterShortage,SeawaterIntrusion,StructuralSafety,ConditionOfBuilding,StructuralResilience,Non-structuralSafety,WindowsAndShutters,Roofing,InternalWallsAndPartitions,EvacuationRoutes,Security,InfastructuralRiskFactorsPreventingAccess,WaterSupply,EnergySupply,ExposureToHeat,WasteManagement,MosquitosAndRodents,AdditionalRiskFactors,Country
Moala Health Centre,,-18.58,179.90,Lakeba,High Vulnerability,3.00,AC2,10,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Low,Average,Low,Low,Low,Average,Average,Average,Average,"Water supply is ok but only at times, then there's a need for water supply. Lack of proper roads. Distance of HCF 80%/ High mosquito and rodent population.","Water supply. only the Naroi HC has WAF supplied water, only 1 water tank as reserve for HCF",HCF Generator only + backup power - solar energy,"Outdoor activities, lack of shade, lack of indoor cooling facility","Needs improvement, general waste and infectious waste is burnt and buried, sharps and needles to Suva",High,"3 Leptos and 10 Dengue in 2021, fish poisoning - cigutera, fungal infection high",Fiji
Kabara Health Centre,,-18.92,181.05,Lakeba,High Vulnerability,3.00,AC2,10,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Low,Low,Low,Average,Average,Average,Average,Average,Average,"Boat travel required to reach HC from the outer islands. Quite expensive to travel and hire boats to HC. 80%, lack of safe water for drinking and sanitation practices",Water tank - rainwater for drinking,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, general waste burnt onsite, needles and sharps to Suva",High,Fish piosoning - cigutera poisoning cases were also picked up. 6/12 tanks are written off. Would need 5-6 more replacement tanks.,Fiji
Komo Nursing Station,,-18.68,181.38,Lakeba,High Vulnerability,3.00,AC2,20,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Access has no proper road, 80% lack of safe water for drinking and sanitation practices",Water tank,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles Suva",High,"HCF was painted and some minor repairs done, Nil LID cases, 100% fishing and oil making",Fiji
Namuka Nursing Station,,-18.85,181.37,Lakeba,High Vulnerability,3.00,AC2,10,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Accessibility via proper roads, 60-70%, lack of safe water for drinking and sanitation","Rainwater for drinking, water tank",Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles to Suva, no incinerator",High,"Accessibility via proper roads, 60-70%, lack of safe water for drinking and sanitation practices",Fiji
Moce Nursing Station,,-18.67,181.50,Lakeba,High Vulnerability,3.00,AC2,6.096,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Low,Average,Low,Average,Average,Average,Average,Average,Average,Lack of safe water for drinking and sanitation,Borehole + water tank + last rainfall in April + have 5 water tanks,Generator + solar + backup generator Ford...but no fuel,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, sharps and needles to Suva, no incinator, general waste burnt onsite",High,Last renovations 2020,Fiji
Vatoa Nursing Station,,-19.82,181.75,Lakeba,High Vulnerability,3.00,AC2,10,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Lack of safe water for drinking and sanitation, lack of proper roads",Water tank,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burnt onsite, no incinerator, sharps and needles to Suva",High,"High dependence on subsistence fishing and coconut selling, last repairs in 2019",Fiji
Totoya Nursing Station,,-18.95,180.18,Lakeba,High Vulnerability,3.00,AC2,2,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Distance of NS to other villages, 60%, lack of safe water for drinking and sanitation",Water tank,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burnt onsite, no incinerator, sharps and needles to Suva",High,"Common as other islands, high dependence on fishing, farming, weaving. Maintenance and minor works needed in this facility",Fiji
Matuku Health Centre,,-19.14,179.74,Lakeba,Medium to High Vulnerability,2.00,AC3,300,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Average,Average,Average,Average,Average,Low,Average,Average,Average,Lack of safe water for drinking and sanitation,Water tank + main source of water - riverwater and stored in tanks. Only 3 tanks are in operation - they need,"Generator + solar, backup generator, Ford but n fuel","Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, sharp and needles to Suva, no incinerator, general waste burnt onsite",High,"Excessive kava drinking, suki smoking for adolescents, alcohol/homebrew consumption on the increase, very common and behind their parents control, ladies weave mats for living, pfarmers-crops, and now copra, 2 partial eye impairment, 2 stroke cases, village has a spring but not for drinking as it is contaminated from animals that are tied around the spring. Pssibly high E. Coliforms.",Fiji
Ono-i-Lau Health Centre,,-20.66,181.28,Lakeba,Medium to High Vulnerability,2.00,AC3,N/A,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Distance from communities and villages to reach the HCF, might address issue of waiting space at the HCF","Water tank, few cases of diarrhea, water shortages in the island so arrangements had been for water carting into the island",Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Improvement needed, lacking water supply. Sharps and needles to Suva for disposal. At times it is buried in the compound.",N/A,"Mostly excessive Kava drinking amongst the community members, tobacco or suki smoking, 80% fishermen/copra farmers, 20% teachers and health workers, 80% in school tertiary in Suva (FNU, USP, or UOF)",Fiji
Vanuavatu Nursing Station,,-18.36,180.72,Lakeba,Medium to High Vulnerability,2.00,AC3,10,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,High,Low,Average,Average,Average,Low,Average,Average,Average,"Lack of safe water for drinking and sanitation, lack of proper road, lack of distance of HCF","Water tank, water in tanks from rainwater",Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, no incinerator, sharps and needles to Suva, no incinerator, general waste burnt onsite",High,"Excessive kava drinking, suki smoking for adolescents, alcohol/homebrew consumption on the increase, very common and behind their parents control, ladies weave mats for living, kava farming, magimagi, and crafts. Farmers-crops and kava, and now copra. 80% fishing, weaving 80%.",Fiji
Nayau Nursing Station,,-17.98,180.97,Lakeba,Medium to High Vulnerability,2.00,AC3,10,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Lack of proper roads, lack of safe water for drinking and sanitation, high mosquito and rodent population","Water tank, rainwater, water source - spring water",Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, burn and bury for general waste",High,"Common issues with other islands in upper Southern Lau, NCD prevalence in the upper Southern Lau, 70% Tapas making and weaving, cieling of the nursing station fell off and needs repairs asap. Refer to photos. NCD high prevalence especially diabetes in the upper Southern Lau",Fiji
Levuka i Daku Nursing Station- Matuku Is,,-19.19,179.76,Lakeba,Medium to High Vulnerability,2.00,AC3,N/A,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,Low,Low,"The damaged nursing station/facility, where the villages of zone 2 will pay more and walk further to the ehalth centre. No proper roads etc. Lack of proper road. Lack of distance of HCF.","Water tank, water in tanks from rainwater",Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility",Need improvement -- no incinerator. Sharps and needles to Suva. No incinerator. General waste burnt onsite.,High,"Excessive kava drinking, suki smoking for adolescents, vax defaulters for 0-5, SOPD defaulters, farmers-crops and Kava; and now copra. 80% fishing, weaving. 80% subsistence farming and fishing.",Fiji
Nasoki Nursing Station- Moala Lau,,-18.63,179.90,Lakeba,Medium to High Vulnerability,2.00,AC3,300,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Lack and distance of HCF, lack of proper roads",Water tank + water in tanks from rainwater +  2 water tanks are empty at time of assessment,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, no incinerator, general waste burning and bury on-site",High,"Excessive suki smoking and kava drinking for 16+ year olds, 100% kava farming and fishing, 80% in school, 20% high school dropouts, registered at the nursing station and visited during dom visits",Fiji
"Cakova Nursing Station - Maola, Lau",,-18.63,179.87,Lakeba,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Lack of safe water for drinking and sanitation, high disease vector, dstance of HCF, improper road to HCF",Water tank,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, no incinerator, general waste burning and bury on-site",High,"90% farming and fishing, 70% in school, same as faced by any village in the upper Southern Lau",Fiji
"Udu Nursing Station - Kabara Is, Lau",,-18.99,181.05,Lakeba,High Vulnerability,3.00,AC3,10,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Low,Average,Low,Average,Average,Average,Average,Average,Average,"Lack of proper roads, distance of HCF","Water tank, lack of safe water for drinking and sanitation",Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, general waste burnt onsite, needles and sharps back to Suva",High,"Home brew consumption from 15 year olds and up, suki smoking - very common, 100% fishing",Fiji
Nabasovi Nursing Station,,-17.29,179.36,Lomaiviti,High Vulnerability,3.00,AC2,70,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Low,Average,Average,Low,Average,Low,Average,Average,Average,"Lack and distance of HCF - costly transportation, lack of proper roads, potential damage to roads/bridges/buildings, leakage inside the NS during rainfall, heavy rainfall affects the bridges and access to the NS",Lacks water - people accessing dirty water. Untreated water access,"Solar energy, generator (damaged)","Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles buried onsite, septic tank system, general waste burnt onsite",N/A,"0-5 default vaccination, excessive Kava drinking for 18+, mostly farmers as a source of employment, lack of safe water for drinking and cooking and hygiene practices",Fiji
Narocake Nursing,,-18.11,179.36,Lomaiviti,High Vulnerability,3.00,AC2,1000,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,High,High,High,Low,Low,Low,Low,Low,Low,"Lack and distance of HCF - costly transportation, lack of proper roads, potential damage to roads/bridges/buildings",Water tank BUT lacks water - people accessing dirty water. Untreated water access,Solar energy,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles buried onsite, septic tank system, general waste burnt onsite",High,"5-14 case of sexual assault, STIs, 30-39 existed case of HIV, excessive Kava drinking and smoking, alcohol consumption, 2% employed, 90% kava and dalo farmers, 70 % in school, 2 blind amputees, 1 completely blind disabled-stroke, 4 mentally challenged, mostly farmers as a source of employment",Fiji
Moturiki Nursing Station,,-17.76,178.76,Lomaiviti,High Vulnerability,3.00,AC2,50,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Lack and distance of HCF - costly transportation, lack of proper roads, potential damage to roads/bridges/buildings",WAF + water tank,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles buried onsite, septic tank system, general waste burnt onsite",High,"Hot spot for typhoid, LTD - youngest wsa 5 years old, excessive kava drinking and smoking, 15-19 teenage pregnancies, alcohol consumption, 2% employed, 90% kava and dalo farmers, 70% in school, 1 completely disabled, 40% farmers/fisherman as source of employment, 60% work at PAFCO - Levuka",Fiji
